course-code,learning-outcomes-id,learning-outcomes
ACST3001,0,nil
ACST3032,1,Explain where and how their analytical work can add value to the business environment and strategy.
ACST3032,2,"Source, interpret, evaluate and prepare data for modelling."
ACST3032,3,Select and justify appropriate predictive analytic techniques for a given business problem.
ACST3032,4,Apply predictive analytic techniques to solve estimation and classification problems.
ACST3032,5,Evaluate and compare performance of different models.
ACST3032,6,Communicate findings to a range of audiences.
ACST4031,1,Discuss and apply an actuarial control cycle in a variety of practical commercial situations;
ACST4031,2,Relate the main features within the general environment to medium and long-term commercial decisions;
ACST4031,3,"Analyse the main features and risks of financial products and contracts, from the point of view of consumers and providers;"
ACST4031,4,Demonstrate an understanding of enterprise risk management;
ACST4031,5,Apply a risk assessment framework to identify and assess the risks in a range of situations;
ACST4031,6,"Discuss and apply the process of product design; and,"
ACST4031,7,Demonstrate an understanding of how models are used to solve client problems.
ACST4032,1,Demonstrate an understanding of the importance of capital;
ACST4032,2,Apply relevant approaches and techniques to the valuation of liabilities;
ACST4032,3,Apply appropriate techniques to the pricing of products and contracts;
ACST4032,4,"Measure, report and manage solvency;"
ACST4032,5,Measure and report emerging profits and/or costs;
ACST4032,6,"Monitor and assess experience relating to actuarial problems; and,"
ACST4032,7,Manage the business and respond to the experience relating to actuarial problems.
ACST4033,0,nil
ACST4060,1,Demonstrate an understanding of risk management frameworks for financial organisations in different regulatory environments
ACST4060,2,Demonstrate an understanding of the relevance of ERM to stakeholders
ACST4060,3,Describe and show an understanding of different risk categories
ACST4060,4,"Recommend methods to manage an organisation’s risk, including risk optimisation, and management of market risk, credit risk, operational and other risks"
ACST4060,5,Demonstrate an understanding of economic capital and capital allocation
ACST4061,1,Describe in detail the properties and limitations of common risk measures.
ACST4061,2,Explain how models can be used in the ERM decision-making process.
ACST4061,3,"Demonstrate an understanding of, and be able to explain the different quantitative techniques for modelling and measuring risk including risk aggregation methods, statistical distributions, copulas, time series techniques, and extreme value theory."
ACST4061,4,Recommend and communicate appropriate models for risk assessment based on quantitative and qualitative analysis.
ACST4061,5,"Assess and explain the different types of risk within an organisation including: market risk, credit risk, operational and other risks."
ACST4062,1,Explain where and how their analytical work can add value to the business environment and strategy.
ACST4062,2,"Source, interpret, evaluate, prepare and justify data for modelling."
ACST4062,3,"Select, compare and justify appropriate predictive analytic techniques for a given business problem."
ACST4062,4,Apply predictive analytic techniques to solve complex estimation and classification problems.
ACST4062,5,Evaluate and compare performance of different models.
ACST4062,6,Communicate findings to a range of audiences.
ACST4500,0,nil
ACST4600,0,nil
ACST6032,1,Explain where and how their analytical work can add value to the business environment and strategy.
ACST6032,2,"Source, interpret, evaluate, prepare and justify data for modelling."
ACST6032,3,"Select, compare and justify appropriate predictive analytic techniques for a given business problem."
ACST6032,4,Apply predictive analytic techniques to solve complex estimation and classification problems.
ACST6032,5,Evaluate and compare performance of different models.
ACST6032,6,Communicate findings to a range of audiences.
ACST6500,1,Demonstrate a detailed understanding of the topics outlined in the class summary.
ACST6500,2,"Demonstrate a high-level mastery of concepts associated with the topics studied, as discussed by the course convenor."
ACST8032,1,Explain where and how their analytical work can add value to the business environment and strategy.
ACST8032,2,"Source, interpret, evaluate and prepare data for modelling."
ACST8032,3,Select and justify appropriate predictive analytic techniques for a given business problem.
ACST8032,4,Apply predictive analytic techniques to solve estimation and classification problems.
ACST8032,5,Evaluate and compare performance of different models.
ACST8032,6,Communicate findings to a range of audiences.
ACST8033,1,"Demonstrate an understanding of the characteristics, returns and risk factors of the different types of investment"
ACST8033,2,Apply the methods used for the valuation of investments
ACST8033,3,"Develop an understanding of the major economic, financial and practical theories relevant to investment"
ACST8033,4,Understand the impact of the liabilities on investment objectives and constraints
ACST8033,5,Describe the characteristics and limitations of the major stochastic investment models
ACST8033,6,Derive relevant assumptions for each of these models
ACST8033,7,Demonstrate the ability to build a relevant stochastic model
ACST8033,8,Formulate an appropriate investment strategy for a given liability portfolio
ACST8033,9,Discuss the practical implementation of investment strategy
ACST8040,1,Discuss and apply an actuarial control cycle in a variety of practical commercial situations;
ACST8040,2,Relate the main features within the general environment to medium and long-term commercial decisions;
ACST8040,3,"Analyse the main features and risks of financial products and contracts, from the point of view of consumers and providers;"
ACST8040,4,Demonstrate an understanding of enterprise risk management;
ACST8040,5,Apply a risk assessment framework to identify and assess the risks in a range of situations;
ACST8040,6,"Discuss and apply the process of product design; and,"
ACST8040,7,Demonstrate an understanding of how models are used to solve client problems.
ACST8041,1,Demonstrate an understanding of the importance of capital;
ACST8041,2,Apply relevant approaches and techniques to the valuation of liabilities;
ACST8041,3,Apply appropriate techniques to the pricing of products and contracts;
ACST8041,4,"Measure, report and manage solvency;"
ACST8041,5,Measure and report emerging profits and/or costs;
ACST8041,6,"Monitor and assess experience relating to actuarial problems; and,"
