major-code,major-name,major-acronym,major-year,areas-of-interest,academic-career,academic-contact,first-owner,degree-summary__requirements-units,introduction,learning-outcomes,requirements
ACCT-MAJ,Accounting,ACCT,2023,"Accounting, Commerce, Finance",Undergraduate,Dr Sorin-Ovidiu Daniliuc,,"
Total units
            48 Units
        ","The major in Accounting is concerned with measurement, analysis, reporting and evaluation of information, including computerised information, which assists in the management of resources in business entities and government organisations.Students wishing to meet the requirements of the professional accounting bodies should either contact the College office for details or refer to the following links:CPA AustraliaChartered Accountants Australia and New ZealandInstitute of Public Accountants","{'1': ' Integrate theoretical and technical accounting knowledge in a business context', '2': ' Exercise judgement under supervision to provide possible solutions to routine accounting problems in straightforward contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives', '3': ' Critically apply theoretical and technical accounting knowledge and skills to provide possible solutions to routine accounting problems', '4': ' Justify and communication accounting advice and ideas to both specialists and non-specialists'}",Requirements
ACMG-MAJ,"Asian and Pacific Culture, Media and Gender",ACMG,2023,"Cultural Studies, Gender Studies, Asian Studies, Asia Pacific Studies, Asia-Pacific Studies",Undergraduate,Dr Shameem Black,,"
Total units
            48 Units
        ","This major investigates everyday power in Asia and the Pacific through a focus on gender, media and culture. Using critical concepts from a range of disciplines, students uncover how gender norms, changing media landscapes, and creative practices influence political debates and public cultures. Exploring how concepts of gender in Asia and the Pacific may differ from conventional Western views, this major analyses how ideas about gender shape justice, equality, social status and leadership in different societies. Especially in situations when top-down political change may be limited, worlds of creative expression and everyday technology reveal key transformations at work. The major analyses how vibrant Asian and Pacific popular cultures and media spread social norms, challenge established authorities, and imagine new futures. Through analytical, practice-based and creative approaches, this major gives students crucial tools to understand the politics of everyday life in Asia and the Pacific.","{'1': 'Demonstrate a nuanced and self-reflective understanding of theories of gender, media and culture, especially in the context of Asian and Pacific societies;', '2': 'Apply the conceptual vocabulary of gender, media and cultural studies to analyse critical issues and problems in Asia and the Pacific, using both scholarly and applied approaches;', '3': 'Reflect on the cross-cultural processes and interdisciplinary approaches through which current knowledge about gender, media and culture in Asia and the Pacific has developed;', '4': 'Communicate complex ideas in writing, speech, and multimedia, justifying methods and approaches as appropriate.'}",Requirements
ACMK-MAJ,Asian Capital Markets,ACMK,2023,Finance,Undergraduate,Dr Alexander Vadilyev,,"
Total units
            48 Units
        ",The major in Asian Capital Markets is designed for students who want to specialise their study of finance within the Asian region. Students in the Asian Capital Markets major can spend one-semester of study within a university within the Asian region giving them invaluable exposure to the study and practice of finance within Asia. This major would appeal to students who are keen to equip themselves with a degree that will prepare them to excel in the Asian financial marketplace.,"{'1': 'Recognise the\n important role of investment and financing decisions, as well as the role of\n equities, bonds and derivatives in Asian financial markets.', '2': 'Critically engage\n with and evaluate financial problems.', '3': 'Work independently\n and collaboratively to collect, process, interpret and communicate the\n outcomes of financial problems.', '4': 'Discuss the different\n capital markets that operate within the Asian region, and be able to\n demonstrate the unique advantages of each system.\xa0'}",Requirements
ADIS-MAJ,Advanced Intelligent Systems,ADIS,2023,,Undergraduate,,,"
Total units
            48 Units
        ","This Major is incompatible with the Intelligent Systems major; Artificial Intelligence (UG) Specialization; and Machine Learning (UG) Specialization.The Advanced Intelligent Systems major offers courses on a wide range of relevant topics. Students will learn about Artificial Intelligence (AI) search, optimisation, reasoning, planning, diagnosis, machine learning, intelligent agents (reinforcement learning, information-theoretic foundations), and bio-inspired computing (neural networks, and evolutionary algorithms). This major provides a solid covering of the whole field of AI.",{'0': 'nil'},Requirements
AGIN-MAJ,Agricultural Innovation,AGIN,2023,"Forestry, Geography",Undergraduate,Dr Craig Strong,,"
Total units
            48 Units
        ","With a major in Agricultural Innovation you will have the skills required to solve the complex challenges facing society. Globally agriculture will need to feed over nine billion people by 2050. With a changing climate and increasing competition for land, water and energy resources, the agricultural sector will need to find innovative ways to do more with less. To achieve this, interdisciplinary and co-innovation approaches to problem solving will be required.By completing courses in agricultural systems, environmental management, sustainability, innovation, entrepreneurship, design thinking, engineering and systems design, you will have the skills to integrate and adapt knowledge from different disciplines to design novel solutions to complex problems.You will learn from world-leading experts from across ANU, and its industry partners, through initiatives including the Centre for Entrepreneurial Agri-Technology (CEAT), a joint ANU-CSIRO initiative. In partnership with government and industry, CEAT brings together research and technology to address industry challenges, cutting across traditional discipline boundaries.Through integrated industry projects and placements, graduates will gain applied industry relevant skills and a deep understanding of the challenges faced by industry and society. By working with industry stakeholders on applied problems, graduates will develop the skills needed to translate research and theory into real-world outcomes and impact.","{'1': 'Demonstrate an understanding of the complexity of agricultural systems and value chains.', '2': 'Critically analyse published literature of relevance to agricultural innovation systems in the context of resilience to environmental, economic and social drivers of change.', '3': 'Apply knowledge of innovation systems to identify emerging opportunities and solve challenges in the agricultural sector.', '4': 'Integrate and adapt appropriate knowledge and problem-solving methods to co-design novel solutions with stakeholders and clients effectively in multi-disciplinary teams.', '5': 'Clearly communicate theory and results in both written and oral formats.'}",Requirements
AGRK-MAJ,Ancient Greek,AGRK,2023,Ancient Greek,Undergraduate,,,"
Total units
            48 Units
        ","The study of Ancient Greek is a rewarding one. An Ancient Greek major assumes no prior knowledge of the language. It introduces the principles of the language (grammar, vocabulary, syntax) and develops reading skills that will enable you to engage closely with Ancient Greek texts. The courses we offer give you a unique opportunity to read in the original language the literature, history, and philosophy of Ancient Greece. From your engagement with the past through its language and literature you will gain a richer understanding not only of that world but also of contemporary society. Proficiency in Ancient Greek is highly recommended also for those wishing to specialize in Ancient Greek or Roman history and civilization.Students with prior experience of Ancient Greek should consult with the convenor to establish the appropriate entry level into the major.","{'1': 'become acquainted with and extend your command of Ancient Greek grammar and vocabulary; to enable you to increase your ability to read Ancient Greek with pleasure and understanding: some texts at sight, any texts with the aid of dictionaries, grammars, translations, and textual notes;', '2': 'develop skills in reading Ancient Greek, beginning with the study of simplified texts and moving to focussed examination of foundational texts of the Greek and the Greco-Roman world;', '3': 'study these texts against their historical and cultural background; and', '4': 'promote approaches and methodologies for critical thinking not only about the ancient sources but also the discourse of our own world.'}",Requirements
AHIST-MAJ,Asian History,AHIST,2023,"Cultural Studies, History, Asian Studies, Asia Pacific Studies, Asia-Pacific Studies",Undergraduate,AsPr Ruth Barraclough,,"
Total units
            48 Units
        ","The Asian History major offers a suite of courses covering developments in a wide range of Asian societies from early times to the recent past. The major provides students with grounding in the course of history in a variety of Asian societies and it provides an empirical basis for the comparative analysis of historical and contemporary developments in Asia and the rest of the world. The major trains students in techniques of source criticism and document analysis, instructs them in the marshalling of evidence for the development of analysis and argument, develops their skills in narrative analysis and in applying social science theory to past societies that differ greatly from the western context in which most such theories were developed. The major assists them to analyse the social and cultural uses to which history writing and historical memory are put and develops an understanding of the historical traditions of Asian societies.","{'1': 'Understand historical forces that have shaped Asian and Pacific states and societies.', '2': 'Analyse the regional and global significance of historical events and developments in Asia and the Pacific.', '3': 'Identify and critique the uses that are made of history in contemporary Asian and Pacific societies.', '4': 'Understand the techniques that historians use to develop understandings of the past and the meaning of the past to different social groups.', '5': 'Construct coherent arguments based on evidence drawn from the past.'}",Requirements
AHIT-MAJ,Art History and Theory,AHIT,2023,"Art History, Visual Arts, Creative Arts, Arts, Design",Undergraduate,Prof Christopher McAuliffe,,"
Total units
            48 Units
        ","The Art History and Theory major locates the study of art in a range of historical, social, cultural and political contexts. Building on a foundation of art history’s principal themes students have the opportunity to focus on a variety of subjects including Australian, Asian and International art, historic and contemporary. The major also offers a range of courses focussing on digital media, craft and design. Students develop the analytical skills necessary for critically evaluating images and objects and the ability to communicate effectively about works in different media to specialist audiences using professional conventions.","{'1': 'identify key movements art and design, describe their development, evolution and interrelationships;', '2': 'recognise and reflect on the practices, languages, forms, materials, technologies and techniques used throughout history in art and design;', '3': 'analyse the social, cultural, ethical context of historic and contemporary art and design; and', '4': 'interpret, communicate and present ideas, problems and arguments about art and design in modes suited to a range of audiences.'}",Requirements
ANCH-MAJ,Ancient History,ANCH,2023,History,Undergraduate,AsPr Caillan Davenport,,"
Total units
            48 Units
        ","The Ancient History major focuses on two of the great civilisations of the ancient Mediterranean, Greece and Rome. These civilisations have been enormously influential down to modern times: the Greeks invented democracy, history, philosophy and the scientific method, while Rome’s legacy continues to resonate in modern oratory, law, urbanization and international relations. Much of Western culture claims descent from Greece and Rome, yet these ancient societies were also exotically different from our own. The First Year courses in Ancient History introduce students to the politics, culture, and mythology of Ancient Greece and Rome while also training students in how to use and read ancient sources (in translation). Later Year courses will cover a range of periods and aspects of Greek and Roman history, including politics, war and imperialism, society and economy, and mythology, art and architecture.","{'1': 'speak with some authority on ancient Greek andRoman history;', '2': 'think critically and analytically about majorissues and controversies in ancient Greek and Roman history;', '3': 'write more effectively and critically, andmaster oral communication;', '4': 'distinguish between primary and secondary sources and critically evaluate them; and', '5': 'develop a global perspective by studying the histories of two very different and chronologically distant cultures.'}",Requirements
ANTH-MAJ,Anthropology,ANTH,2023,Anthropology,Undergraduate,Dr Ashley Carruthers,,"
Total units
            48 Units
        ","Anthropology is the study of cultural differences and similarities in a globalised world. As a field of study anthropology is uniquely placed to interpret the widest range of contemporary social phenomena - from migration to religious fundamentalism, online communities and new social movements, contemporary indigenous cultural expression and identity politics, consumption and commodification, and many changing forms of social relationships. The School of Archaeology and Anthropology offers a diverse range of undergraduate courses which cover these themes and more.The discipline's distinctive methodology—long-term ethnographic fieldwork—provides anthropologists with finely grained and in-depth understandings of complex social phenomena. With a commitment to a comparative and holistic framework, anthropologists' treatment of cultural diversity provides insights into the different ways people comprehend their place in the world and relationships to each other, as well as new ways for us to think about our own relationships and society. It is an ideal foundation for a contemporary liberal-arts degree. Students of non-English languages can find anthropology especially useful.","{'1': 'demonstrate understanding of the major dimensions of analysis of societies and cultures (e.g., gender, religion, personhood, identity, violence, emotion, state, nation, globalisation);', '2': 'demonstrate understanding of both directed and unintended processes of change (e.g., culture and development, applied anthropology);', '3': 'demonstrate understanding of the interrelation of technique and theory in the recording and describing of cultures (e.g., film); and', '4': 'demonstrate understanding of the intersection of bio-social and material dimensions of social life.'}",Requirements
APIR-MAJ,Asia-Pacific International Relations,APIR,2023,"International Relations, Policy Studies, Asian Studies, Security Studies, International Security",Undergraduate,Dr Hans Envall,,"
Total units
            48 Units
        ","The Asia-Pacific International Relations major provides students with a comprehensive understanding of the region’s politics, security affairs, economics and trade, history, diplomacy, and governance. The major will also provide students with a deeper knowledge of the foreign and security policies of key states in the region, including China, the United States, Japan and India. Students completing the major will be well equipped to pursue advanced research in the field of Asia-Pacific international relations or to develop a career in a wide range of relevant professions, including non-governmental organisations, international organisations, government and policy bodies.","{'1': 'Understand and evaluate historical and current events and development that have shaped the international relations of the Asia-Pacific;', '2': 'Identify and critique the patterns of conflict and cooperation to the conduct of international relations in the Asia-Pacific;', '3': 'Analyse the regional and global significance of events, developments, and foreign policies within the Asia-Pacific;', '4': 'Understand the processes and disciplinary approaches through which current knowledge about the international relations of the Asia-Pacific has developed. '}",Requirements
APST-MAJ,Applied Statistics,APST,2023,Statistics,Undergraduate,Dr Tao Zou,,"
Total units
            48 Units
        ","As John Naisbett said of modern society, “we are drowning in information but starved for knowledge”. One of the most in-demand roles these days is that of applied statistician – the key person essential for decision-making and for understanding our data-driven world. In this major, you will learn to understand and use a wide array of statistical modelling techniques that will empower you to make sense of data and offer insights to a wide variety of disciplines, from archaeology to zoology and almost everything in between. If there are data, there is a need for applied statistics.","{'1': 'Exhibit a working knowledge of the statistical computing package R.', '2': 'Apply statistical survey sampling techniques to design a routine sample survey.', '3': 'Apply basic principles in the design of simple experiments.', '4': 'Communicate the role of generalized linear modelling techniques (GLMs) in modern applied statistics and implement GLM methodology.', '5': 'Effectively communicate statistical analyses graphically, numerically and in written reports', '6': 'Describe statistical models of transfer between multiple states, including processes with single or multiple decrements, and derive relationships between probabilities of transfer and transition intensities', '7': 'Interpret the results of a Bayesian analysis and perform Bayesian model evaluation and assessment.', '8': 'Formulate a Bayesian solution to real-data problems.'}",Requirements
ARAB-MAJ,Arabic,ARAB,2023,Arab and Islamic Studies,Undergraduate,Ms Leila Kouatly,,"
Total units
            48 Units
        ","Arabic is the mother language of over 250 million people in the Middle East (West Asia and North Africa), and one of the six official languages of the United Nations. Arabic is also the language of the Qur'an with special importance to all Muslims.  Arabic is the language of an ancient civilization, which contributed greatly to human knowledge. Its influence is strongly felt on such languages as Persian, Turkish, Urdu, Indonesian and Malay, among others. Arabic is also the living medium of a contemporary dynamic literature and culture. Its rich and magnificent poetry, classical and modern, is especially captivating.The major is designed to develop the four skills of listening, speaking reading and writing in an integrated way. Courses use Modern Standard Arabic as the language of teaching.","{'1': 'write texts in Arabic in the appropriate genre, with correct grammatical structures and thematic vocabulary relevant to the level of the student;', '2': ""read, comprehend and infer authors' meanings in newspapers, magazines, literary and critical texts written in Arabic;"", '3': 'engage with authentic media such as Arabic news, movies or music by analysing and evaluating their content;', '4': 'communicate verbally in a variety of settings with proficient Arabic speakers; and', '5': 'identify and differentiate aspects and issues of the cultures and societies associated with the Arabic language.'}",Requirements
ARCH-MAJ,Archaeology,ARCH,2023,Archaeology,Undergraduate,Dr Catherine Frieman,,"
Total units
            48 Units
        ","The major in archaeology provides students with the opportunity to learn archaeological techniques and comprehend the evidence of past human societies in different locations, for both prehistoric and historical periods. Courses cover a wide range of regional cultural sequences and archaeological methodologies.","{'1': 'identify patterns and regional variation in the human past as revealed by the archaeological evidence;', '2': 'explain the nature of ancient and historic life and cultural transformations;', '3': 'critically evaluate archaeological evidence for the reconstruction of cultural systems and cultural change in specific regions;', '4': 'describe the long-term cultural changes in different parts of the world; and', '5': 'explain the basics of human physical and cultural evolution.'}",Requirements
ASIA-MAJ,Asian Studies,ASIA,2023,Non Language Asian Studies,Undergraduate,Dr Mark Gibeau,,"
Total units
            48 Units
        ","Australia is increasingly looking to Asia - strategically, economically, politically, and culturally - and all eyes are on the graduates of tomorrow to take us there. Proudly interdisciplinary and inter-regional, in this major we train our students to adapt to changes in Australian society and develop links with the cultures and societies of the Asian region through the study of the historical, cultural, social and political structures that have shaped the region. With a major in Asian Studies you will acquire an in-depth contextual knowledge of the region and the ability to apply interdisciplinary approaches to understanding the issues confronting the region, and graduate with the kind of Asian literacy that gets you noticed by employers.","{'1': 'Identify the processes by which knowledge about Asia has been produced, circulated and applied.', '2': 'Analyse major trends in Asia within regional and global comparative frameworks.', '3': 'Understand the theoretical frameworks and research techniques in humanities and social science literatures relevant to the study of Asia.', '4': 'Evaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods.', '5': 'Communicate and debate both orally and in writing, and work with others, using a variety of media.', '6': 'Continue learning about Asia; from Asia; and with Asia.'}",Requirements
ASPP-MAJ,Asia-Pacific Politics,ASPP,2023,,Undergraduate,,,"
Total units
            48 Units
        ","DescriptionThe ANU is a world-leading centre for advanced research on the politics of Asia and the Pacific. This major allows students to develop an expertise in the politics of the region and comparative politics, equipping them with the skills to analyse and compare political systems and phenomena. The major provides opportunities for students to concentrate on politics of China, Indonesia, Southeast Asia, South Asia, Northeast Asia, and the Pacific. An Asia-Pacific politics major provides students with a solid foundation upon which to develop a career specialising in the politics of this dynamic region.Course ListsThe course lists in the ""Requirements"" section below is a definitive list and includes all courses that can be counted towards the major, whether or not they are offered in the current year. For a list of courses that will be offered in the current year, please see the Summary of Courses page.",{'0': 'nil'},Requirements
ASSY-MAJ,Aerospace Systems,ASSY,2023,Engineering,Undergraduate,Prof Kateryna Bazaka,,"
Total units
            48 Units
        ","Access to space and uncrewed aerial systems are rapidly decreasing in cost, driving new opportunities in communications, defence, and monitoring and management of Earth’s resources. Aerospace systems engineers have the knowledge and skills to design, integrate and control complementary space and aerial craft subsystems to work efficiently, reliably and safely together to support commercial and defence industries. As part of this major, students will pursue topics in space systems engineering, advanced propulsion systems, space instrumentation and control of aerospace structures and vehicles. These topics leverage particular ANU strengths in electrical and mechatronics engineering, intelligent systems, as well as expertise from the Advanced Instrumentation Technology Centre and ANU InSpace. Leveraging ANU’s unique location in Canberra, Australia's defence capital with the largest concentration of defence and national security agencies, assets, and industry bodies in Australia, and existing links with the leading aerospace companies, such as Boeing and Airbus, students pursuing this major will have the chance to apply their skills early on through a range of industry projects and work experience and internship placement opportunities.","{'1': 'Apply systematic design-oriented engineering principles, including those aided by mathematical modelling and computer simulation, to analyse and design aerospace systems, including structural, propulsion, data and flight instrumentation, communication, and guidance, navigation, and control sub-systems.', '2': 'Evaluate solutions to engineering problems in aerospace systems, by selecting and applying theoretical principles and methods from sciences, mathematics, computing, systems theory and engineering disciplines that describe the relationship between fundamental physical sciences and the behaviour of aerospace systems.', '3': 'Demonstrate proficiency with advanced knowledge and tools in aerospace systems, including aerodynamics, material design, air and space propulsion, advanced control, microprocessors, and flight optimisation to meet aircraft performance, stability and controllability, and propulsion requirements.', '4': 'Identify and compare current developments and emerging trends in contemporary and prospective aerospace systems, including autonomous aerial systems, miniaturised space systems, aerospace robotics, and aerial and space swarm systems. ', '5': ""Use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions."", '6': 'Undertake critical reflection and independent research in aerospace systems.', '7': 'Work effectively within teams, demonstrating autonomy, ethical conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.'}",Requirements
ASTR-MAJ,Astronomy and Astrophysics,ASTR,2023,Astronomy and Astrophysics,Undergraduate,Prof Michael Ireland,,"
Total units
            48 Units
        ","The Astronomy and Astrophysics major provides a broad overview of the application of physics to understanding the physical universe. It aims to provide a balance of knowledge and skills. Central areas of knowledge include: the physics of radiation; celestial mechanics and fluid dynamics; structure and evolution of planets, stars, galaxies, black holes, and the universe; design of and analysis of data from telescopes and similar instruments. Mathematical, computational and experimental skills include: problem solving, data gathering, data analysis, and instrument design. The major will prepare students for a variety of careers in areas in which the physical sciences are important, including: research, teaching, and industry.","{'1': ' describe and explain the basic properties of astrophysical objects, including planets, stars, galaxies, black holes, and the universe as a whole.', '2': ' apply the principles of physics to solve problems pertaining to the behaviour of these objects, and to make predictions about their evolution.', '3': ' describe and explain the operation of telescopes and related instruments for observing astronomical phenomena.', '4': ' use mathematical, computational and experimental skills to solve conceptual and quantitative problems in astrophysics.', '5': ' demonstrate skills including: equipment familiarity, data gathering, record keeping, data analysis, dealing with uncertainty, experiment design, and comparison with theory.', '6': ' analyse unfamiliar astrophysical systems and provide order-of-magnitude estimates of quantities. This includes a knowledge of basic physical constants and key equations.', '7': ' be both creative and rigorous in the design and construction of scientific investigations of astrophysical systems.', '8': ' effectively communicate astrophysical analyses to expert and non-expert audiences.', '9': 'constructively criticise evidence, arguments and conclusions wherever they are encountered.'}",Requirements
AUIS-MAJ,Australian Indigenous Studies,AUIS,2023,Indigenous Australian Studies,Undergraduate,Ms Mary Spiers Williams,,"
Total units
            48 Units
        ","Australian Indigenous Studies (AuIS) is a recognised field of study, part of a global disciplinary network of Indigenous Studies. This Major in AuIS offers students opportunities to develop insight into the extraordinary breadth, depth and diversity of First Peoples' knowledges and ways of knowing, the diverse perspectives and experiences of Australia’s First Peoples, and to deepen awareness of and respect for Indigenous Peoples' rights. Students are introduced to Indigenous philosophical perspectives that underpin the first laws of this place and relationships with and within Country.The major is interdisciplinary, meaning that it is possible to study courses in Australian Indigenous Studies and other courses that intersect AuIS sensibilities with disciplines such as anthropology, art history, environmental science, history, linguistics, music, or policy studies - combining courses from Schools and Centres in humanities, arts, social sciences, and the physical sciences (including environmental studies and health). Taken together, the courses offer a unique breadth and depth of insight into First Peoples' experiences, knowledges, ways of knowing and being - including First Peoples' occupation and adaption on the Australian continent; socio-cultural, ceremonial, artistic and linguistic practices; relationships between First Peoples and other Australians; and other matters that concern First Peoples today, including First Peoples' perspectives on colonisation in Australian and representation of First Peoples here. The Major offers a broad-based understanding of the phenomenon of colonisation globally, First Peoples' societies, cultures, and continuities, and our relationships with other Indigenous Peoples globally.","{'1': ""demonstrate an informed understanding of and insight into First Peoples' diverse perspectives on Australian history, cultures and societies;"", '2': ""demonstrate an understanding of and insight into First Peoples' diverse knowledges and ways of knowing;"", '3': 'demonstrate insight and informed understanding about the phenomenon of colonisation and the many and different impacts of colonialism on First Peoples and Australian society broadly; and', '4': 'demonstrate informed insight regarding Australian Indigenous Studies in the context of other Indigenous and First Nations Peoples globally.'}",Requirements
BCHM-MAJ,Biochemistry,BCHM,2023,"Chemistry, Biology",Undergraduate,AsPr Maja Adamska,,"
Total units
            48 Units
        ","Biochemistry is a scientific discipline that combines biological and chemical concepts and methods. It is focused on the understanding of molecules that are relevant to biological processes. These can be small molecules that form part of metabolic pathways, chemical compounds that bind to biological molecules and macromolecules such as DNA, RNA and proteins. Biochemistry as a discipline investigates the structure and function of these molecules either in isolation or in a cellular context. Biochemists generate and modify molecules to understand their function and design molecules with novel properties.","{'1': 'Combine chemical and biological concepts to understand the structure and function of molecules that are relevant to biological processes.', '2': 'Integrate chemical and biological concepts and ideas to solve problems of a biochemical nature.', '3': 'Have well developed laboratory based skills in methods that investigate biomolecules.', '4': 'Undertake appropriate risk assessments and use biochemicals in a safe manner.', '5': 'Use software and instrumentation for the acquisition, processing and analysis of biochemical data.', '6': 'Access relevant biochemical literature and use it to present well constructed arguments based on sound biochemical reasoning.', '7': 'Perform both collaborative and independent research in a professional manner.', '8': 'Communicate biochemical concepts clearly and accurately to an expert or a non-expert audience.', '9': 'Recognize the interdisciplinary nature of biochemistry and its underlying significance in other areas of science, such as medicine.', '10': 'Demonstrate an understanding of the ethical and social dimensions of practising biochemistry.'}",Requirements
BIAN-MAJ,Biological Anthropology,BIAN,2023,Biological Anthropology,Undergraduate,Dr Stacey Ward,,"
Total units
            48 Units
        ","Biological anthropology is the branch of anthropology that focuses on the evolutionary and biological aspects of humankind: Homo sapiens as an evolved species - human populations as varied and dynamically changing sets of biological individuals, adaptable but also vulnerable to ever-changing circumstances. It is also concerned with the non-human primates, and with current debates on the biological bases of human social behaviour. The subject thus encompasses what used to be called physical anthropology, as well as primatology, palaeoanthropology and human population biology, including human genetics and the study of human health, nutrition, growth, demography and ecological adaptation, viewed comparatively and synthetically.The pass degree courses are planned, not to provide specialised professional training, but to present students with an overall understanding of biological anthropology and its main sub-fields. Honours courses offer more specialist training and examine in more depth the discipline's theoretical basis. Students considering the possibility of entering careers as professional biological anthropologists should plan their courses with a view to taking the degree with Honours. Specific preparation for honours work begins in third year.","{'1': 'define the scope of biological anthropology as a discipline and situate it in a wider anthropological context;', '2': ""apply the discipline's theoretical approaches and research methodologies in the investigation of primate evolutionary and population biology;"", '3': 'critically discuss contemporary and historical research in at least four of the following subfields: fossil evidence for human evolution; evolutionary primatology; behavioural primatology; human skeletal morphology; bioarchaeology; anthropological genetics; human population health, nutrition and environmental adaptability; human population dynamics; and', '4': 'recognise and reflect\n     on local and international perspectives on research in biological\n     anthropology.'}",Requirements
BIOD-MAJ,Biodiversity Conservation,BIOD,2023,"Forestry, Environmental Studies, Zoology, Biodiversity Conservation",Undergraduate,Prof Philip Gibbons,,"
Total units
            48 Units
        ","The United Nations concluded that human actions threaten more species with extinction than ever before. Conserving biodiversity in the face of ongoing population growth, resource consumption and climate change represents a major challenge to society.This major is intended for students that aspire to engage in evidence-based solutions to conserve biodiversity.There is a focus in this major on:The key scientific principles that underpin biodiversity conservation.Developing field skills and applying cutting-edge techniques for collecting biodiversity data.Developing analytical skills that enable you to interpret and authoritatively critique biodiversity information.Applying these scientific principles and skills to develop evidence-based conservation policy and management.This major offers field trips to several of The Australian National University’s long-term research sites around Australia, interactions with practicing professionals and opportunities to obtain practical experience that will improve your employment opportunities in areas such as park and reserve management, threatened species conservation, managing pest plants and animals, environmental impact assessment, or restoration and rehabilitation of degraded lands.","{'1': 'Define and explain biodiversity for audiences ranging from the general public to the scientific community.', '2': 'Articulate why conserving biodiversity is important.', '3': 'Apply key concepts that underpin the conservation of biodiversity at the level of genes, species and ecosystems.', '4': 'Design and implement practical strategies to measure and monitor biodiversity.', '5': 'Analyse, interpret and critique data used to evaluate biodiversity and the impacts of human activities on biodiversity.', '6': 'Identify management and policy options to conserve biodiversity in a range of circumstances.'}",Requirements
