major-code,learning-outcomes-id,learning-outcomes
ACCT-MAJ,1,Integrate theoretical and technical accounting knowledge in a business context
ACCT-MAJ,2,"Exercise judgement under supervision to provide possible solutions to routine accounting problems in straightforward contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives"
ACCT-MAJ,3,Critically apply theoretical and technical accounting knowledge and skills to provide possible solutions to routine accounting problems
ACCT-MAJ,4,Justify and communication accounting advice and ideas to both specialists and non-specialists
ACMG-MAJ,1,"Demonstrate a nuanced and self-reflective understanding of theories of gender, media and culture, especially in the context of Asian and Pacific societies;"
ACMG-MAJ,2,"Apply the conceptual vocabulary of gender, media and cultural studies to analyse critical issues and problems in Asia and the Pacific, using both scholarly and applied approaches;"
ACMG-MAJ,3,"Reflect on the cross-cultural processes and interdisciplinary approaches through which current knowledge about gender, media and culture in Asia and the Pacific has developed;"
ACMG-MAJ,4,"Communicate complex ideas in writing, speech, and multimedia, justifying methods and approaches as appropriate."
ACMK-MAJ,1,"Recognise the
 important role of investment and financing decisions, as well as the role of
 equities, bonds and derivatives in Asian financial markets."
ACMK-MAJ,2,"Critically engage
 with and evaluate financial problems."
ACMK-MAJ,3,"Work independently
 and collaboratively to collect, process, interpret and communicate the
 outcomes of financial problems."
ACMK-MAJ,4,"Discuss the different
 capital markets that operate within the Asian region, and be able to
 demonstrate the unique advantages of each system."
ADIS-MAJ,0,nil
AGIN-MAJ,1,Demonstrate an understanding of the complexity of agricultural systems and value chains.
AGIN-MAJ,2,"Critically analyse published literature of relevance to agricultural innovation systems in the context of resilience to environmental, economic and social drivers of change."
AGIN-MAJ,3,Apply knowledge of innovation systems to identify emerging opportunities and solve challenges in the agricultural sector.
AGIN-MAJ,4,Integrate and adapt appropriate knowledge and problem-solving methods to co-design novel solutions with stakeholders and clients effectively in multi-disciplinary teams.
AGIN-MAJ,5,Clearly communicate theory and results in both written and oral formats.
AGRK-MAJ,1,"become acquainted with and extend your command of Ancient Greek grammar and vocabulary; to enable you to increase your ability to read Ancient Greek with pleasure and understanding: some texts at sight, any texts with the aid of dictionaries, grammars, translations, and textual notes;"
AGRK-MAJ,2,"develop skills in reading Ancient Greek, beginning with the study of simplified texts and moving to focussed examination of foundational texts of the Greek and the Greco-Roman world;"
AGRK-MAJ,3,study these texts against their historical and cultural background; and
AGRK-MAJ,4,promote approaches and methodologies for critical thinking not only about the ancient sources but also the discourse of our own world.
AHIST-MAJ,1,Understand historical forces that have shaped Asian and Pacific states and societies.
AHIST-MAJ,2,Analyse the regional and global significance of historical events and developments in Asia and the Pacific.
AHIST-MAJ,3,Identify and critique the uses that are made of history in contemporary Asian and Pacific societies.
AHIST-MAJ,4,Understand the techniques that historians use to develop understandings of the past and the meaning of the past to different social groups.
AHIST-MAJ,5,Construct coherent arguments based on evidence drawn from the past.
AHIT-MAJ,1,"identify key movements art and design, describe their development, evolution and interrelationships;"
AHIT-MAJ,2,"recognise and reflect on the practices, languages, forms, materials, technologies and techniques used throughout history in art and design;"
AHIT-MAJ,3,"analyse the social, cultural, ethical context of historic and contemporary art and design; and"
AHIT-MAJ,4,"interpret, communicate and present ideas, problems and arguments about art and design in modes suited to a range of audiences."
ANCH-MAJ,1,speak with some authority on ancient Greek andRoman history;
ANCH-MAJ,2,think critically and analytically about majorissues and controversies in ancient Greek and Roman history;
ANCH-MAJ,3,"write more effectively and critically, andmaster oral communication;"
ANCH-MAJ,4,distinguish between primary and secondary sources and critically evaluate them; and
ANCH-MAJ,5,develop a global perspective by studying the histories of two very different and chronologically distant cultures.
ANTH-MAJ,1,"demonstrate understanding of the major dimensions of analysis of societies and cultures (e.g., gender, religion, personhood, identity, violence, emotion, state, nation, globalisation);"
ANTH-MAJ,2,"demonstrate understanding of both directed and unintended processes of change (e.g., culture and development, applied anthropology);"
ANTH-MAJ,3,"demonstrate understanding of the interrelation of technique and theory in the recording and describing of cultures (e.g., film); and"
ANTH-MAJ,4,demonstrate understanding of the intersection of bio-social and material dimensions of social life.
APIR-MAJ,1,Understand and evaluate historical and current events and development that have shaped the international relations of the Asia-Pacific;
APIR-MAJ,2,Identify and critique the patterns of conflict and cooperation to the conduct of international relations in the Asia-Pacific;
APIR-MAJ,3,"Analyse the regional and global significance of events, developments, and foreign policies within the Asia-Pacific;"
APIR-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about the international relations of the Asia-Pacific has developed.
APST-MAJ,1,Exhibit a working knowledge of the statistical computing package R.
APST-MAJ,2,Apply statistical survey sampling techniques to design a routine sample survey.
APST-MAJ,3,Apply basic principles in the design of simple experiments.
APST-MAJ,4,Communicate the role of generalized linear modelling techniques (GLMs) in modern applied statistics and implement GLM methodology.
APST-MAJ,5,"Effectively communicate statistical analyses graphically, numerically and in written reports"
APST-MAJ,6,"Describe statistical models of transfer between multiple states, including processes with single or multiple decrements, and derive relationships between probabilities of transfer and transition intensities"
APST-MAJ,7,Interpret the results of a Bayesian analysis and perform Bayesian model evaluation and assessment.
APST-MAJ,8,Formulate a Bayesian solution to real-data problems.
ARAB-MAJ,1,"write texts in Arabic in the appropriate genre, with correct grammatical structures and thematic vocabulary relevant to the level of the student;"
ARAB-MAJ,2,"read, comprehend and infer authors' meanings in newspapers, magazines, literary and critical texts written in Arabic;"
ARAB-MAJ,3,"engage with authentic media such as Arabic news, movies or music by analysing and evaluating their content;"
ARAB-MAJ,4,communicate verbally in a variety of settings with proficient Arabic speakers; and
ARAB-MAJ,5,identify and differentiate aspects and issues of the cultures and societies associated with the Arabic language.
ARCH-MAJ,1,identify patterns and regional variation in the human past as revealed by the archaeological evidence;
ARCH-MAJ,2,explain the nature of ancient and historic life and cultural transformations;
ARCH-MAJ,3,critically evaluate archaeological evidence for the reconstruction of cultural systems and cultural change in specific regions;
ARCH-MAJ,4,describe the long-term cultural changes in different parts of the world; and
