academic-plan,program-name,program-acronym,program-year,cricos-code,uac-code,post-nominal,field-of-education,academic-contact,mode-of-delivery,areas-of-interest,academic-career,course-convener,degree-summary__admission-score,degree-summary__requirements-length,degree-summary__requirements-units,introduction,learning-outcomes
4050FDD,"Flexible Double Degree - Arts, Social  Sciences, Business, Science",FDD,2023,079093D,"130010 (FDD Arts, SocSci, Busn & Sci)",,,,,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Flexible Double Degree Groups allow students to combine two Bachelor degrees of their choice. Students can build their own combination to suit both a career path and a personal passion. The Arts, Social Sciences, Business and Science Group offers the broadest range of choices with over 600 degree combinations available. These options allow you to build depth, create interdisciplinary breadth, and fulfil both professional ambitions and intellectual curiosity.Try the Degree Builder to see how the degrees combine together. Choose two of the following degrees:Bachelor of AccountingBachelor of Actuarial Studies *Bachelor of Applied Data AnalyticsBachelor of Archaeological PracticeBachelor of Art History and CuratorshipBachelor of ArtsBachelor of Asian StudiesBachelor of Biotechnology*Bachelor of Business AdministrationBachelor of CommerceBachelor of CriminologyBachelor of Design*Bachelor of EconomicsBachelor of Environment and SustainabilityBachelor of European StudiesBachelor of FinanceBachelor of Genetics*Bachelor of Public PolicyBachelor of Information Technology*Bachelor of International RelationsBachelor of International Security StudiesBachelor of LanguagesBachelor of Mathematical Sciences*Bachelor of Medical Science*Bachelor of MusicBachelor of Pacific StudiesBachelor of Political ScienceBachelor of Politics, Philosophy and EconomicsBachelor of ScienceBachelor of Science (Psychology)Bachelor of Statistics*Bachelor of Visual Arts** Degrees include pre-requisites in addition to ATAR# Degrees of Biotechnology, Genetics and Medical Science cannot be combined with each other.+ The Bachelor of Commerce with a Finance major cannot be undertaken with the Bachelor of Finance.You must meet the entry requirements (entrance rank and any prerequisites) for both the degrees you choose. Domestic UAC applicants do not need to indicate which two degrees they wish to combine until they accept their offer.Many of the degrees listed in this Flexible Double Degree Group are professionally accredited. See the individual course entries of the degrees listed to find out more about who recognises these qualifications.",{'0': 'nil'}
4350FDD,Flexible Double Degree - Law (Honours),FDD,2023,079095B,137010 (Flexible Double Degree Law),,,,,,,,97,"
Length
5 year full-time
","
Minimum
            240 Units
        ","The Flexible Double Degree groups allow students to combine two Bachelor degrees of their choice. Students can build their own combination to suit both a career path and a personal passion. The Law (Honours) Group allows for over 30 courses to be combined with the Bachelor of Laws (Honours). These options allow you to specialise with combinations that relate to the study of law or allow you to diversify your qualifications.Try the Degree Builder to see how the degrees will combine together.You must choose the Bachelor of Laws (Honours); and one of the following degrees:Bachelor of AccountingBachelor of Actuarial Studies*Bachelor of Applied Data AnalyticsBachelor of Archaeological PracticeBachelor of Art History and CuratorshipBachelor of ArtsBachelor of Asian StudiesBachelor of Biotechnology*Bachelor of Business AdministrationBachelor of Classical StudiesBachelor of CommerceBachelor of CriminologyBachelor of Design*Bachelor of Development StudiesBachelor of EconomicsBachelor of Environment and SustainabilityBachelor of European StudiesBachelor of FinanceBachelor of Genetics*Bachelor of Information Technology*Bachelor of International RelationsBachelor of International Security StudiesBachelor of LanguagesBachelor of Mathematical Science*Bachelor of Medical Science*Bachelor of Middle Eastern and Central Asian StudiesBachelor of MusicBachelor of Pacific StudiesBachelor of Political ScienceBachelor of Politics, Philosophy and EconomicsBachelor of Public PolicyBachelor of ScienceBachelor of Science (Psychology)Bachelor of Statistics*Bachelor of Visual Arts* * Degrees include pre-requisites in addition to ATARYou must meet the entry requirements (entrance rank and any prerequisites) for both the degrees you choose. Domestic UAC applicants do not need to indicate which two degrees they wish to combine until they accept their offer.Many of the degrees listed here are professionally accredited. See the individual course entries of the degrees listed to find out more about who recognises these qualifications",{'0': 'nil'}
4750FDD,Flexible Double Degree - Engineering and Advanced Computing (Honours),FDD,2023,079094C,135010 (FDD Enginering & Adv Computing),,,,,,,,,"
Length
5 year full-time
","
Minimum
            240 Units
        ","The Flexible Double Degree groups allow students to combine two Bachelor degrees of their choice. Students can build their own combination to suit both a career path and a personal passion. The Engineering and Advanced Computing Group allows for over 80 unique degree combinations. These options allow you to couple technical knowledge with a diverse range of options in science, business and social sciences.Try the Degree Builder to see how the degrees will combine together.You must take one of the following degrees:Bachelor of Engineering (Honours)*Bachelor of Software Engineering*Bachelor of Engineering (Research & Development)(Honours)*Bachelor of Advanced Computing (Research & Development)(Honours)*Bachelor of Advanced Computing*with one degree from the following list:Bachelor of Actuarial Studies *Bachelor of Applied Data AnalyticsBachelor of ArtsBachelor of Art History and Curatorship ##Bachelor of Middle Eastern and Central Asian Studies ##Bachelor of Asian StudiesBachelor of Biotechnology*Bachelor of Business AdministrationBachelor of CommerceBachelor of EconomicsBachelor of Environment and SustainabilityBachelor of FinanceBachelor of Genetics*Bachelor of Information Technology*#Bachelor of International Security StudiesBachelor of LanguagesBachelor of Mathematical Sciences*Bachelor of MusicBachelor of Pacific StudiesBachelor of ScienceBachelor of Science (Psychology)Bachelor of Statistics*Bachelor of Archaeological Practice ##Bachelor of European Studies ##Bachelor of Public Policy ##Bachelor of Accounting ##Bachelor of Classical Studies ##Bachelor of International Relations ##Bachelor of Development Studies ##Bachelor of Medical Science ##Bachelor of Politics, Philosophy and Economics ##Bachelor of Criminology ##Bachelor of Political Science ##Bachelor of Design ##Bachelor of Visual Arts ## * Degrees include pre-requisites in addition to ATAR# Information Technology cannot be combined with Software Engineering or Advanced Computing, but it is available in the Arts, Social Sciences, Business, Science and Law groups where it can be combined with a wide range of degrees.## Can not be combined with Bachelor of Engineering (Research & Development) (Honours)You must meet the entry requirements (entrance rank and any prerequisites) for both the degrees you choose. Domestic UAC applicants do not need to indicate which two degrees they wish to combine until they accept their offer.Many of the degrees in this Flexible Double Degree Group are professionally accredited. See the individual course entries of the degrees listed to find out more about who recognises these qualifications.",{'0': 'nil'}
AACOM,Bachelor of Advanced Computing (Honours),BACMP(H),2023,077939A,135705 (B Advanced Computing), ,,,,,,,85,"
Length
4 year full-time
","
Minimum
            192 Units
        ","This is a unique, interdisciplinary program that will prepare you to be a future leader of the information and communications technology revolution.As a degree accredited by the Australian Computer Society you will not only learn advanced computing techniques and have the opportunity to complete a unique specialisation, but also develop exceptional professional skills including communication and teamwork.While some of our students are developing code which controls unmanned aerial vehicles, others are busy writing algorithms to mine through Peta-bytes of data. If mastering challenging projects is your thing, the ANU Bachelor of Advanced Computing (Honours) can launch you into a spectacular career.","{'1': 'Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects.', '2': 'Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures.', '3': 'Recognise connections and recurring themes, including abstraction and complexity, across the discipline.', '4': 'Adapt to new environments and technologies, and to innovate.', '5': 'Demonstrate an understanding of deep knowledge in at least one area of computer science.', '6': 'Communicate complex concepts effectively with diverse audiences using a range of modalities.', '7': 'Work effectively within teams in order to achieve a common goal.', '8': 'Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance.', '9': 'Demonstrate an understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results.', '10': 'Apply research methods to the solution of contemporary research problems in computer science.'}"
AACRD,Bachelor of Advanced Computing (Research and Development) (Honours),BACR&DH,2023,085359K,135700 (B Advanced Computing (R&D)), ,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","If you want to explore the cutting edge of research in computing and gain skills that will enable you to development software that tackles complex problems then you are looking at the right degree.This is a unique, interdisciplinary program that will prepare you to be a future leader of the information and communications technology revolution. It also is a great pathway to a PhD.As a degree accredited by the Australian Computer Society you will not only learn advanced computing techniques and have the opportunity to complete a unique specialisation, but also develop exceptional professional skills including communication and teamwork.You’ll work alongside distinguished researchers at ANU and pursue research projects in your own area of interest.While some of our students are developing code which controls unmanned aerial vehicles, others are busy writing algorithms to mine through Petabytes of data.  If mastering challenging projects is your thing, the ANU Bachelor of Advanced Computing (Research and Development) can launch you into a spectacular career","{'1': 'Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects', '2': 'Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures', '3': 'Recognise connections and recurring themes, including abstraction and complexity, across the discipline', '4': 'Adapt to new environments and technologies, and to innovate', '5': 'Demonstrate an understanding of deep knowledge in at least one area of computer science', '6': 'Communicate complex concepts effectively with diverse audiences using a range of modalities', '7': 'Work effectively within teams in order to achieve a common goal', '8': 'Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance', '9': '\xa0Demonstrate a deep understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results', '10': 'Proficiently apply research methods to the solution of contemporary research problems in computer science, and', '11': '\xa0Demonstrate an understanding of research processes including research proposals, article reviewing and ethics clearance. '}"
AENGI,Bachelor of Engineering (Honours),BE(HONS),2023,077943E,135004 (B Engineering),BEngHons,,,,,,,85,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Do you want to make solar energy more efficient and live in a sustainable city, or create new technologies in robotics, uncrewed aircraft and wireless internet of things? This is the degree for you!The ANU Bachelor of Engineering boasts many unique characteristics, but best of all, it is built on a 'multidisciplinary systems' approach. What does that mean? Successful engineers need to understand how disciplines work together. Our state-of-the-art education experience ensures that you will be able to design, analyse and manage the complex systems of the future.This exceptional degree will not only allow you to excel in your career, but to also make a real difference and help to solve some of the world's largest problems.","{'1': 'Apply systematic engineering methods professionally to design optimised and sustainable solutions to complex and multi-disciplinary engineering problems.', '2': 'Construct and evaluate solutions to engineering problems by selecting and applying theoretical principles and methods from the underpinning physical, mathematical and information sciences, and broader transdisciplinary knowledge.', '3': 'Demonstrate advanced technical knowledge and the application of appropriate tools in at least one field of engineering specialisation.', '4': 'Compare current developments and emerging trends in at least one field of engineering specialisation.', '5': 'Understand the contextual factors that influence professional engineering practice, such as interpersonal, organizational, institutional, technological, physical, environmental, political and societal factors, and assess the potential societal, cultural, health, legal and environmental impact of engineering activities.', '6': 'Communicate and incorporate perspectives across disciplines effectively with colleagues, other engineering professionals and the broader community employing a range of communication media and tools.', '7': 'Engage in independent research through the application of research-based knowledge and research methods, including searching, analysing and evaluating information sources within and beyond their engineering discipline.', '8': 'Engage responsibly in critical reflection on self-competence to practice ethically and independent learning to continue practicing at the forefront of the discipline.', '9': 'Work effectively and proactively within cross-cultural, multi-disciplinary teams, demonstrating autonomy, ethical conduct, well-developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.'}"
AENRD,Bachelor of Engineering (Research and Development) (Honours),BER&D(H),2023,060542F,135000 (B Engineering (Rsch & Dev)),BEngRD,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Do you want to make solar energy more efficient and live in a sustainable city, or create new technologies in robotics, uncrewed aircraft and wireless internet of things? This is the degree for you!This elite engineering degree will give you access to an innovative structure that allows you to get involved in many project based research courses in engineering.You can study the fundamental engineering courses while you are immersed in research groups covering electronics, communications, mechatronics, renewable energy, environmental, and aerospace systems.This exceptional degree will not only allow you to excel in your career, but to also make a real difference and help to solve some of the world's largest problems.","{'1': 'Apply systematic engineering methods professionally to design optimised and sustainable solutions to complex and multi-disciplinary engineering problems.', '2': 'Construct and evaluate solutions to engineering problems by selecting and applying theoretical principles and methods from the underpinning physical, mathematical and information sciences, and broader transdisciplinary knowledge.', '3': 'Demonstrate advanced technical knowledge at the leading edge of the discipline and the application of appropriate tools in at least one field of engineering specialisation.', '4': 'Compare current developments and emerging trends in at least one field of engineering specialisation.', '5': 'Understand the contextual factors that influence professional engineering practice, such as interpersonal, organizational, institutional, technological, physical, environmental, political and societal factors, and assess the potential societal, cultural, health, legal and environmental impact of engineering activities.', '6': 'Communicate and incorporate perspectives across disciplines effectively with colleagues, other engineering professionals and the broader community employing a range of communication media and tools.', '7': 'Engage in independent research at the leading edge of the discipline, via the completion of multiple individual research projects, through the application and synthesis of research-based knowledge and research methods.', '8': 'Engage responsibly in critical reflection on self-competence to practice ethically and independent learning to continue practicing at the forefront of the discipline.', '9': 'Work effectively and proactively within cross-cultural, multi-disciplinary teams, demonstrating autonomy, ethical conduct, well-developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.\xa0'}"
AENSE,Bachelor of Engineering (Honours) in Software Engineering,BSENG(H),2023,108316E,135005 (BEngHons Soft Eng),BEngHonsSofEng,,,,,,,85,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Software Engineering is about building effective software systems that address complex problems in a broad range of domains including transport, communications, finance, medicine, science, entertainment and the arts.The ANU Bachelor of Engineering (Honours) in Software Engineering has many unique characteristics, but best of all, it is built on a multidisciplinary systems approach. The adopted systems approach to software engineering not only covers the technical aspects of professional practice, innovation and research, but also the complex socio-technical context in which these activities occur. This includes approaches to dealing with uncertainty and risk, design, modern management practices, ethics and communication.          Students develop these skills and capabilities through a balance of theoretical study, practice in team projects with industry partners, and work experience. Students also have the opportunity to develop their innovation and entrepreneurial capabilities by working on their own start-ups with industry entrepreneurs as part of their degree.","{'1': 'Professionally apply systematic engineering methods to design optimised and sustainable solutions to complex, multi-disciplinary real-world engineering problems.', '2': 'Formulate and evaluate solutions to software engineering problems by selecting and applying theoretical principles and methods from the underpinning mathematical, information and computer sciences.', '3': 'Proficiently apply advanced technical knowledge and appropriate tools in software engineering practices.', '4': 'Identify and critically evaluate current developments and emerging trends in the software engineering discipline.', '5': 'Understand the contextual factors that influence professional engineering practice, and identify the potential societal, ethical, and environmental impact of engineering activities.', '6': 'Communicate effectively with colleagues, other engineering professionals and the broader community employing a range of communication media and tools.', '7': 'Engage in independent research and investigation through the application of research-based knowledge and research methods, including searching, analysing and evaluating information sources within and beyond the software engineering discipline.', '8': 'Engage effectively in critical reflection and independent learning to continue practicing at the forefront of the software engineering discipline.', '9': 'Work effectively and proactively within cross-cultural, multi-disciplinary teams, demonstrating autonomy, ethical conduct, well-developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard.'}"
AENSU,Bachelor of Environment and Sustainability Advanced (Honours),AENSU,2023,091181C,138202 (B Environ & Sus Advanced Hon), ,,,,,,,90,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Maintaining the balance between our environment and human development is challenging. The future needs you to work on sustainable solutions to issues including increasing biodiversity loss, urbanisation and climate change.The ANU Bachelor of Environment & Sustainability (Advanced)(Honours) is a contemporary degree, covering environmental science, policy and social sciences, allowing you to address the complex challenges of sustainability.This broad environmental education includes a sound basis in theory and methods, with a focus on hands-on applications and field-based, research-led learning.This degree offers direct entry to the four-year Bachelor (Honours) program, and includes enhanced research-led learning opportunities throughout your studies, so you gain the research skills needed to develop new knowledge and insights in environment and sustainability.","{'1': 'Systematically evaluate current understandings of environmental science, natural resource management and sustainability, and of a range of response strategies for sustainable resource management and development.', '2': 'Integrate knowledge from relevant scientific areas and from policy approaches across disciplines into approaches designed to address complex contemporary environment and sustainability issues, in global, national and local contexts.', '3': 'Plan and engage in an independent and sustained critical investigation of a research topic relevant to environment and sustainability to generate new knowledge in this field.', '4': 'Collect, analyse and interpret original research data using appropriate methodologies and methods to draw evidence-based conclusions.', '5': 'Apply a range of written, oral and visual communication skills to effectively convey and discuss complex concepts about environmental science, sustainable development and resource management decisions and relevant policies across disciplines.', '6': 'Engage with and inform ongoing debates on environmental science, resource management and sustainability issues, recognising the importance of biophysical and socio-political and cultural contexts.', '7': 'Appreciate and apply, where appropriate, personal, professional and social responsibility as a global citizen.'}"
AFEST,"Bachelor of Finance, Economics and Statistics (Honours)",BFESHONS,2023,086222G,134300 (B Finance Econo Stats (Hons)), ,,,,,,,98,"
Length
4 year full-time
","
Minimum
            192 Units
        ","The Bachelor of Finance, Economics and Statistics (Honours) is an elite four year honours degree. The degree is targeted at excellent undergraduate students seeking a quantitative degree program that will equip them for graduate studies in Finance, Economics or Statistics and/or that will make them desirable to prestigious Government or Industry employers. The degree will fill a gap at the ANU by providing an attractive option for outstanding undergraduates who are seeking a quantitative degree program that has applications in a wide range of business areas. The degree will comprise courses from Finance, Economics and Statistics and also relevant courses from Mathematics.","{'1': 'Determine which financial models should be utilised to analyse and price financial assets.', '2': 'Demonstrate their understanding of the economic foundations of financial assets as claims on resources in various market and corporate settings to design financial instruments and strategies.', '3': 'Employ and adapt time series statistics to critically evaluate the results of empirical analysis.', '4': 'Demonstrate the skills necessary to critically engage with and evaluate financial economic problems.', '5': 'Evaluate key research questions as demonstrated through a process of planning, developing and executing a body of research work.'}"
