academic-plan,learning-outcomes-id,learning-outcomes
4050FDD,0,nil
4350FDD,0,nil
4750FDD,0,nil
AACOM,1,"Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects."
AACOM,2,"Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures."
AACOM,3,"Recognise connections and recurring themes, including abstraction and complexity, across the discipline."
AACOM,4,"Adapt to new environments and technologies, and to innovate."
AACOM,5,Demonstrate an understanding of deep knowledge in at least one area of computer science.
AACOM,6,Communicate complex concepts effectively with diverse audiences using a range of modalities.
AACOM,7,Work effectively within teams in order to achieve a common goal.
AACOM,8,"Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance."
AACOM,9,"Demonstrate an understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results."
AACOM,10,Apply research methods to the solution of contemporary research problems in computer science.
AACRD,1,"Define and analyse complex problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects"
AACRD,2,"Demonstrate an operational and theoretical understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures"
AACRD,3,"Recognise connections and recurring themes, including abstraction and complexity, across the discipline"
AACRD,4,"Adapt to new environments and technologies, and to innovate"
AACRD,5,Demonstrate an understanding of deep knowledge in at least one area of computer science
AACRD,6,Communicate complex concepts effectively with diverse audiences using a range of modalities
AACRD,7,Work effectively within teams in order to achieve a common goal
AACRD,8,"Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance"
AACRD,9,"Demonstrate a deep understanding of the fundamentals of research methodologies, including defining research problems, background reading and literature review, designing experiments, and effectively communicating results"
AACRD,10,"Proficiently apply research methods to the solution of contemporary research problems in computer science, and"
AACRD,11,"Demonstrate an understanding of research processes including research proposals, article reviewing and ethics clearance."
AENGI,1,Apply systematic engineering methods professionally to design optimised and sustainable solutions to complex and multi-disciplinary engineering problems.
AENGI,2,"Construct and evaluate solutions to engineering problems by selecting and applying theoretical principles and methods from the underpinning physical, mathematical and information sciences, and broader transdisciplinary knowledge."
AENGI,3,Demonstrate advanced technical knowledge and the application of appropriate tools in at least one field of engineering specialisation.
AENGI,4,Compare current developments and emerging trends in at least one field of engineering specialisation.
AENGI,5,"Understand the contextual factors that influence professional engineering practice, such as interpersonal, organizational, institutional, technological, physical, environmental, political and societal factors, and assess the potential societal, cultural, health, legal and environmental impact of engineering activities."
AENGI,6,"Communicate and incorporate perspectives across disciplines effectively with colleagues, other engineering professionals and the broader community employing a range of communication media and tools."
AENGI,7,"Engage in independent research through the application of research-based knowledge and research methods, including searching, analysing and evaluating information sources within and beyond their engineering discipline."
AENGI,8,Engage responsibly in critical reflection on self-competence to practice ethically and independent learning to continue practicing at the forefront of the discipline.
