id,abstract,title,authors,
20598,"Overview: For T&E to provide the most relevant information for developing and fielding capabilities to meet mission needs, planning should focus on gathering data for capability evaluation and decision-support. We propose an expansion of US DoD's acquisition cycle mandated Integrated Decision Support Key (IDSK) to Decision Support Evaluation Framework (DSEF) which guides a structured decision-evaluation-data critical thought process throughout the full capability development lifecycle. - Context: IDSK guides data collection from test and modeling and simulation (M&S) events for an acquisition system’s operational and technical capabilities’ evaluation for operational, programmatic, and technical decision-support throughout acquisition lifecycle. As T&E expands outside the confines of the acquisition cycle to the full capability lifecycle, the DSEF provides the same expansion of the test’s evaluation and decision-support. - Purpose: In moving from IDSK to DSEF, we must scale from the acquisition cycle to the full capability development cycle. The “art” and critical thought in developing a DSEF is properly stating the decision space (i.e., What decision needs to be made? When does the decision need to be made? What is the essence of the information needed by the decision-maker to make an informed decision?) and aligning it with the appropriate capability evaluation and data sources. We describe the decision space as a concept moves from early capability development planning, through S&T and P&E, to PoR and Operational SoS Architecture mission delivery. - Approach: Through analysis of the various stages in the capability development process, we've defined classes of decisions, decision-supporting questions, and capability evaluation strategies. - Insights: The value of the DSEF is two-fold. First, the DSEF thought process guides the capability evaluation planning focused on informing decisions. Second, the DSEF process guides wargames and exercise planning with a more rigorous focus on gathering the data needed for evaluation and decision-support. ",Decision-Supporting Capability Evaluation throughout the Capability Development Lifecycle,"Suzanne Beers 1, The MITRE Corporation, Colorado Springs, CO, United States",
20604,"This presentation delves into the transformative realm of virtual rehearsal and its profound benefits for the construction industry, spotlighting a recent Australian project exemplifying cast-in-place construction methodologies. The focus will be on the utilization of innovative techniques such as incrementally launched casting beds and balanced cantilevers from travellers. Subsequently, we will elucidate how these design principles can be seamlessly applied to more conventional structures and methodologies.
Virtual rehearsal, a digital technique, empowers project teams to meticulously plan, test, and refine work sequences within a simulated environment before embarking on real-world implementation. Leveraging building information models (BIM), this form of virtual reality enables collaborative interactions among personnel involved in planning and executing tasks. The immersive technology facilitates a dynamic interaction with designs, allowing for the rehearsal of various aspects of construction, maintenance, repurposing, and risk assessment within the context of new infrastructure.
Key Points:
-Integration of virtual 3D models with the project program for visualizing and analyzing construction activities.
-Visualization and analysis of project design before and during construction phases.
-Enhancement of user understanding regarding the spatial relationships within the project.
-Identification and proactive addressing of safety concerns or potential issues.
Advantages:
-Establishment of rich engagement with owner/operator stakeholders through immersive experiences.
-Improvement of design and service outcomes through engaged reviews, comments, and option testing.
-Automated prevention of safety risks, reducing reliance on human behavior.
-Stakeholders gain a comprehensive understanding of the design, facilitating informed decisions early in the construction process.
This presentation aims to showcase the transformative impact of virtual rehearsal on cast-in-place construction methodologies, underlining its potential to enhance constructability, safety, and stakeholder engagement across a spectrum of construction projects.",Virtual Rehearsal: Enhancing Constructability and Safety in Cast-In-Place Construction ,"Luis Diaz 1, Case Civil and Structural Engineering, Brisbane, QLD, Australia",
20608,"The burgeoning adoption of Robotic and Autonomous Systems with Artificial Intelligence (RAS-AI) necessitates standardized approaches for Systems Engineering of AI-intensive systems (SE4AI) and Assurance of AI-intensive systems (As4AI). There is an increasing recognition of the need to employ simulated environments in an As4AI context, which in turn necessitates standardized approaches for the Systems Engineering of simulated environments (SE4SimE) and Assurance of Simulated Environments (As4SimE).
This paper outlines a conceptual framework and methodology for the assurance of simulated environments (As4SimE) used in the assurance certification of (maritime) autonomous systems. It does this by first contextualizing As4AI in a (maritime) autonomous systems context, to highlight the need for simulated environments, and in the need for an associated As4SimE framework. This is followed by a literature and market review to identify enabling concepts and to identify gaps in available assurance capabilities.
The core of the paper builds on these concepts to propose a generic As4SimE framework that can encapsulate all the aspects necessary for the certification of a simulated environment that may be employed to demonstrate compliance against a specific set of regulatory requirements in an As4AI context, supporting the conduct of a set of selected operational scenarios. The primary outcome from this As4SimE activity is a Certified Simulated Environment (C-SimE) that can then be selected (from a list of C-SimEs) to form a MAS Assurance Plan (MAP), that through the conduct of supported scenarios, in associated C-SimEs, collectively enable a compliance demonstration activity for a specific autonomous system. This includes associated processes, tools, techniques, and curation of reference technical data and assurance reports. 
The paper concludes with a summary and suggestions for future research.",A Framework for the Assurance of Simulated Environments Supporting Assurance Certification of Autonomous Systems,"Jawahar Bhalla 1, Stephen C Cook 1 2, David J Harvey 3, Shoal Group / University of Adelaide, Harrington Park, NSW, Australia, School of Electrical & Mechanical Engineering, University of Adelaide, Adelaide, SA, Australia, School of Electrical & Mechanical Engineering, Uni of Adelaide, Adelaide, SA, Australia",
20612,"
",Dissecting Safe Testing of Complex Systems,"Ben Luther 1, University of Adelaide, Adelaide, SA, Australia",
20628,"Experimental flight test routinely manages risk within complex socio-technical systems. The flight test system already encompasses the crew, so the potential catastrophic consequences preclude typical mitigations of robustness and resilience. This leaves flight test professionals to manage risk using a framework of tools that is guided by cultural lore. 
Observation of the professional flight test community identified that their approach to managing risk in complex systems was unique. Yet with a few notable, tragic exceptions, their approach was clearly effective in circumstances that would otherwise be fatal.
Ethnographic research into this flight test risk management framework identified a combination of statistical and non-statistical tools in use, in parallel. They always had both at hand, though the flight test crews did not have knowledge of why different tools were effective. Their blanket approach assured effectiveness at the expense of efficiency. 
Research identified that there is no grand theory of risk and that risk management is grounded in economic theory. Examination of economic theory finds that Friedman's Utility Theory and Probability Theory are being read across, though the context is not being maintained. For complexity, alternative theory from Knight and Keynes is being used by the flight test community in their adoption of non-statistical approaches that accept uncertainty rather than assign a subjective probability.
Complicated systems respond to statistical approaches, though complexity denies these same tools. Complex systems require risk management approaches that accommodate emergence, dynamic configurations and non-deterministic system performance. An understanding of why the flight test risk management framework is effective provides a case study for the wider industry dealing with complex systems to emulate.  ",Identifying Effective Tools for Risk Management of Complex Systems,"Ben Luther 1, Indra Gunawan 2, Nam Nguyen 2, Nova Systems, Adelaide, SA, Australia, University of Adelaide, Adelaide, SA, Australia",
20639,"This paper covers recent work undertaken at Shoal to investigate and develop maturity metrics to increase understanding of the maturity of MBSE models that are built on Shoal and Shoal client projects. Maturity metrics are an important engineering tool that can collectively serve as a leading indicator for project performance. If a project is at a lower level of maturity heading into a major milestone than required there is a good chance of cost and schedule over-run, or quality deficiency. The paper commences with a review of the open literature that identified different methods to track model maturity. The information uncovered during the literature review is then synthesised into an MBSE model maturity assessment method that includes the ability to select MBSE model maturity metrics from a library. The work undertaken to generate a metrics library is presented and the paper concludes with some observations and lessons learned, as well as plans for further work. The approach presented could be used by organisations undertaking MBSE modelling to build their own library of metrics to measure the maturity of their MBSE models they are developed. ",Measuring MBSE Model Maturity – A Library-Supported Approach,"Derek Rogers 1, Brett Morris 1, Shoal Group Pty Ltd, Adelaide, SA, Australia",
20640,"This paper presents a framework for managing and using the information associated with a system engineering workforce. The typical uses associated with information regarding an organisation’s systems engineering workforce can be grouped into strategic workforce management and tactical workforce management. Strategic workforce management covers the aggregate of people in the organisation whilst tactical workforce management is directly concerned with the individuals. Strategic workforce management makes decisions about the general areas to recruit, develop or subcontract to address the long-term capability needs for the positioning of the business. In contrast tactical workforce management makes decisions about who to allocate to projects or specific training courses, and supports considerations related to promotion. To make these decisions in a repeatable and reliable manner, processes need to be defined and use authoritative information covering the knowledge, competencies, and skills of people. The definition and use of that information is the subject of this paper. ",An Information Management Framework and its Application for Managing a System Engineering Workforce,"Derek Rogers 1, Jon Hallett 1, Shoal Group Pty Ltd, Adelaide, SA, Australia",
20648,"Overview: Major infrastructure and transport projects require a systematic and structured approach to information management. Such projects typically entail documenting, controlling, and managing relationships between various levels of requirements and their associated design, and verification and validation activities. Handling such a significant volume of artefacts poses considerable challenges.
Context: Requirements management tools play an important role in capturing, organising, managing, and tracing requirements throughout the lifecycle of a system. These tools help manipulate and display data in tailored formats so that progress statuses and relationships can be easily visualised. One of the most common requirements management tools among systems engineering practitioners is the IBM Dynamic Object-Oriented Requirements System (DOORS), and the IBM Report Builder offers a variety of options for generating metrics and reports.
Purpose: While pivotal for project analysis and decision-making, open-source information on report generation is scarce online. Only scattered information can be found on the internet across a few blogs, IBM documentation, and forum discussions. The paper aims at discussing differences in terms of handling and presenting data depending on the data source of the report.
Approach: The points of discussion of the paper are based on the lessons learnt over several years of systems engineering practice in Major Infrastructure and Transport Projects in Australia using DOORS Next Gen. It will present examples elucidating differences between the use of Data Warehouse (DW) and Lifecycle Query Engine (LQE).
Insights: In many cases, both data sources can meet the same reporting needs. However, key differences were observed in how long the data takes to update, the ability to add attributes, set filters and conditions to reports, and the ability to create custom expressions. ",A Systems Engineer’s Reflection on Data Reporting in Major Infrastructure and Transport Projects,"Fernanda Tavares 1, Systems Engineering, SYSTRA ANZ, Sydney, NSW, Australia",
20666,"Format
Interactive workshop with live demonstrations and case studies.
 
Overview
Join my tutorial to discover how to effectively manage potentially damaging transients in water distribution and wastewater systems using Bentley OpenFlows HAMMER. Learn about the critical role of transient analysis in safeguarding infrastructure and explore practical strategies for surge control.
 
Audience
Engineers, water utility professionals, and infrastructure managers who are involved in the design, operation, and maintenance of water distribution and wastewater systems.
 
Line-up
Mr. Neil Sipe
Introduction to transient analysis and the importance of surge control.
Live demonstration of OpenFlows HAMMER software features and capabilities.
Real-world applications of transient analysis and surge control strategies.
Q&A session with the presenters for interactive engagement and problem-solving.
 
Room style
Classroom-style seating with a projector and screen for presentations, as well as access to computers for live software demonstrations.
 
Domain or Stream
Modelling and Simulation Advances ",Protecting Water Infrastructures using Bentley's OpenFlows Hammer Transient Modelling and Simulation,"Neil Sipe 1, Southern Cross University, Mudgeeraba, QLD, Australia",
20671,"Modeling and simulations (M&S) is an integral component of the U.S. Department of Defense's focus for delivering integrated, network-centric systems-of-systems (SoS) that provide the materiel solution to needed capabilities. M&S assists developers and decision makers in a wide range of technical processes like analysis of alternatives, concept development, requirements evaluation, production and manufacturing, test and evaluation (T&E), integration, training, logistics, and risk management as well as in assessing the capability over the entire operational space. M&S will continue to grow as a critical component of an overall test program strategy. In this presentation we examine the current state of M&S in acquisition T&E, as viewed from the lens of a small number of acquisition programs, and provide some useful hints to advance and get the most of its application. Specifically, we provide a perspective on the role of M&S in the T&E strategy, the sufficiency of M&S processes, identify gaps in M&S verification and validation (V&V), report on methods used for assessing model maturity, and identify digital engineering strategies that could help improve M&S V&V over the lifecycle. ",Advance Modeling and Simulation in Acquisition Test and Evaluation,"Jason Daly 1, David Wells 1, Melissa Wong 1, Angel Cortes-Morales 1, Luis Cortes 2, MITRE, McLean, VA, United States Technical Solutions Division, Huntington Ingalls Industries, Corona, California, USA",
