Course_Code,Course_Name,URL,Last_Assessed,Last_Published,Note,Prerequisite_Courses,Prerequisite_Units,TD_Interactive,TD_Interactive_Written,TD_Context,TD_Context_Written,TD_Integrative,TD_Integrative_Written,TD_Pluralistic,TD_Pluralistic_Written,TD_Change,TD_Change_Written,TD_Systemic,TD_Systemic_Written,Advice,Assessment URL
ACST3032,Actuarial Data Analysis,https://programsandcourses.anu.edu.au/course/ACST3032,15-Jul-24,05-Sep-23,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),LO: Explain where and how their analytical work can add value to the business environment and strategy.,Likely,"Description: ...aims to teach students how to apply this knowledge in real-life business settings, preparing them for more complex and practice specific applications",,,,,,,,,,
ANTH2130,Violence and Terror,https://programsandcourses.anu.edu.au/course/ANTH2130,18-Jun-24,02-Jul-24,Updated for TD-GA,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),"Description: This course emphasises active and collaborative learning, with teamwork comprising 60% of the assessment. Students will be expected to seriously engage with the weekly learning materials before coming to class, undertake preparatory work with their teammates, and be primed to create an active and lively learning environment each week.
Assessment: Team project, consultation, contribution (60%)
LO: co-operate with fellow students and team members to promote effective peer learning, teamwork, organization, project development, and ability to adhere to time-on-task principles;
LO: develop interpersonal skills including social intelligence, open-mindedness, reliability, mutual respect and responsibility, and capacity to use diversity within the team as a resource",Likely,"Description: Anthropological perspectives on violence consider how social life is shaped through different forms of engagement with force and intimidation, and foreground concerns of meaning, representation and symbolism
LO: apply the core language and key concepts of the anthropology of violence to real life case studies, thus producing a critical analysis of practices and discourses of violence and terror",Highly Likely,"Description [Integrative]: In this course, we will be approaching violence as usually meaningful and always culturally mediated: a phenomenon that is not outside the realm of human society.",,,,,,,,ANTH2130.pdf
ARTV3035,Creative Research Practice: Extending and Consolidating an Independent Project,https://programsandcourses.anu.edu.au/course/ARTV3035,18-Jun-24,01-Jul-24,Updated for TD-GA,Open to students with relevant backgrounds,Normally completed at least 96 units,Likely (Peers),"Description: This course provides a cross-disciplinary forum for critical and contextual discussions relevant to contemporary creative practices, supported through tutorials and discussions within discipline areas.",Likely,"LO: demonstrate a comprehensive awareness of the social, ethical, cultural, technological and environmental issues of creative practice, considering local and international perspectives.",Somewhat Likely,"LO: employ conceptual and technical experimentation, critical and reflective thinking to develop and create new works",,,,,,,,ARTV3035.pdf
ASIA2118,Pollution in Past Societies,https://programsandcourses.anu.edu.au/course/ASIA2118,15-Jul-24,30-Jan-24,,Open to all students,Normally completed at least 48 units,Somewhat Likely (Broad),"Description: The course will consist of a mix of lectures (concepts, theories), discussion of case-studies to be presented by students, and practical exercises that will be given during the lectures",Highly Likely,"LO: Identify specific categories of pollution resulting from historical human activities.
LO: Analyse the correlation between the historical evolution of societies and the emergence of pollution.",Likely,LO: Analyse the correlation between the historical evolution of societies and the emergence of pollution.,Likely,"Description: Upon completion of this course, students will have built a strong foundation in environmental history, achieved through an engaging exploration that bridges history and science, contributing to the betterment of our environment's future.",,,,,,
ASIA2302,Culture and Modernity in Asia,https://programsandcourses.anu.edu.au/course/ASIA2302,15-Jul-24,08-Jul-24,,Open to all students,Normally completed at least 24 units,Somewhat Likely (Material),"LO: Summarise, digest and present the contents of analytical readings for a wider audience.",Highly Likely,"Description: Relevant themes that have attracted anthropological interest include changing traditions and popular culture, adaptive custom and cosmopolitanism, migration and citizenship, identity politics and social movements as well as distinctive and emergent forms of governance in both collective and self-cultivating forms of expression. ",Likely,Description: Drawing on a rich corpus of social theory and ethnographic research [...] the course will provide students with conceptual and analytical tools [...] to review and appreciate the key anthropological debates and influential works in the study of modernity,Likely,LO: Demonstrate understanding of theories and debates around modernity and concepts of culture.,Likely,"LO: Demonstrate knowledge of key concepts in anthropology and its central research method - ethnography
LO: Critically utilise case studies and relevant source material when arguing analytical points in writing.",,,,
ASIA2308,Linguistic histories in Asia and the Pacific,https://programsandcourses.anu.edu.au/course/ASIA2308,18-Jun-24,09-Feb-24,,Open to all students,Completed minimum of  24 units,Somewhat Likely (Material),"Class Activity: Case study approach
LO: Understand the contemporary linguistic and social diversity of the Asia-Pacific region through trans-disciplinary models of change over time.",Somewhat Likely,"Description: This course introduces the principles and methods of historical linguistics used to reconstruct language histories, which are windows onto the social and cultural lives of past peoples and societies. ",Likely,"Description: This course introduces the principles and methods of historical linguistics used to reconstruct language histories, which are windows onto the social and cultural lives of past peoples and societies.
LO: Construct narratives of the Asia-Pacific past that draw on evidence from a range of disciplines.",Likely,LO: Investigate the linguistic and social past through sources and knowledges from different academic and indigenous perspectives.,,,,,,ASIA2308.pdf
ASIA2311,Gender and Cultural Studies in Asia and the Pacific,https://programsandcourses.anu.edu.au/course/ASIA2311,18-Jun-24,29-Jul-21,,Open to all students,Completed minimum of  24 units,Somewhat Likely (Broad),"Assessment: Group Project: Smartphone Application Prototype
LO: Reflect on the cross-cultural processes and interdisciplinary approaches through which current knowledge about gender and culture in Asia and the Pacific has developed;",Likely,"Description: Through analytical, practice-based and creative assessments, students will gain crucial tools to engage with the politics of everyday life in Asia and the Pacific. 
LO: Reflect on the cross-cultural processes and interdisciplinary approaches through which current knowledge about gender and culture in Asia and the Pacific has developed",Likely,Description: Students will be introduced to key interdisciplinary tools and approaches from the field of gender and cultural studies.,Likely,LO: Identify and evaluate interdisciplinary theories and approaches in gender and cultural studies;,,,,,,ASIA2311.pdf
ASIA2888,Critical Economic Literacy,https://cms.anu.edu.au/cms/design/course/64746/view,15-Jul-24,20-Oct-23,,Open to all students,Normally completed at least 48 units,,,,,,,,,,,,,,
ASIA3039,Research Project in Asian and Pacific Studies,https://cms.anu.edu.au/cms/design/course/63833/view,15-Jul-24,31-Oct-23,,Open to students with particular courses,Normally completed at least 72 units,Likely (Peers),"LO: Provide an effective sounding board for peers' self reflection and research scoping, as well as critical developmental feedback on peers' work.",Somewhat Likely,"LO: Discover and critically review scholarly literature pertaining to a specific region, key debate, or outstanding research problem.",Likely,"LO: Systematically evaluate the available evidence whether numerical, textual, aural, or visual and the strength of analyses and arguments based on this evidence.",,,,,,,,
ASIA3040,Literary Discourse in Japan,https://programsandcourses.anu.edu.au/course/ASIA3040,15-Jul-24,04-Mar-24,,Open to all students,Normally completed at least 72 units,Somewhat Likely (Material),Note: Interaction Unclear,Highly Likely,"LO: Demonstrate an understanding of the relationship between these texts and their literary, cultural, political and historical contexts.",,,Somewhat Likely,Description: ...it is hoped that students will not only gain a deeper understanding of specific texts and writers but will also better understand the range of issues and competing and contradictory narratives that shape modern Japanese culture.,Somewhat Likely,Description: ...better understand the range of issues and competing and contradictory narratives that shape modern Japanese culture.,,,,
