College,Course_Code,Course_Name,Assessment,TD_Interactive,TD_Context,TD_Integrative,TD_Pluralistic,TD_Change,TD_Systemic,Recommendation,Recommendation Comment,Priority,Nominated_Via,Comments,Include_Reason
CBE,ACST3032,Actuarial Data Analysis,,Somewhat Likely (Material),Likely,-,-,-,-,Include and Review (2026),,Specified,BACTS Award Orders,,BACTS
CASS,ANTH2130,Violence and Terror,,Likely (Peers),Likely,Highly Likely,-,-,-,Include,,Tags,CASS Email,,
CASS,ARTV3035,Creative Research Practice: Extending and Consolidating an Independent Project,,Likely (Peers),Likely,Somewhat Likely,-,-,-,Include,,Specified,CASS Email,,BVART
CAP,ASIA2118,Pollution in Past Societies,,Somewhat Likely (Broad),Highly Likely,Likely,Likely,-,-,Revise to Include (late 2025),,Tags,CAP Email,MD: To be considered,
CAP,ASIA2302,Culture and Modernity in Asia,,Somewhat Likely (Material),Highly Likely,Likely,Likely,Likely,-,Revise to Include (late 2025),,Tags,CAP Email,MD: To be considered,
CAP,ASIA2308,Linguistic histories in Asia and the Pacific,,Somewhat Likely (Material),Somewhat Likely,Likely,Likely,-,-,Include and Review (2026),,Specified,CAP Email,Co-taught with ASIA2100/ASIA6308,BLANG
CAP,ASIA2311,Gender and Cultural Studies in Asia and the Pacific,,Somewhat Likely (Broad),Likely,Likely,Likely,-,-,Revise to Include (late 2025),,Tags,CAP Email,"Pending, not confirmed with convenor",
CAP,ASIA2888,Critical Economic Literacy,,-,-,-,-,-,-,Hold,,Tags,CAP Email,MD: Planning for 2026,
CAP,ASIA3039,Research Project in Asian and Pacific Studies,,Likely (Peers),Somewhat Likely,Likely,-,-,-,Hold,,Tags,CAP Email,MD: Planning for 2026,
CAP,ASIA3040,Literary Discourse in Japan,,Somewhat Likely (Material),Highly Likely,-,Somewhat Likely,Somewhat Likely,-,Revise to Include (late 2025),,Tags,CAP Email,MD: To be considered,
CoS,ASTR1003,Astronomy and Space,,Somewhat Likely (Material),Somewhat Likely,-,-,-,-,Revise,,Tags,CoS Email,Confirm with ADE,
CoS,ASTR2013,Foundations of Astrophysics,,Likely (Peers),Not Likely,-,-,Somewhat Likely,-,,,,CoS ADE Email,,
CoS,ASTR3013,Astrophysical Processes,,Likely (Peers),-,-,-,Somewhat Likely,-,,,,CoS ADE Email,,
CoS,BIOL2115,Comparitive Physiology,,Somewhat Likely (Material),Somewhat Likely,-,-,-,Somewhat Likely,Revise,,Tags,CoS Email,Confirm level with ADE,
CoS,BIOL3106,Biosecurity,,Somewhat Likely (Material),Somewhat Likely,Somewhat Likely,-,-,-,Revise to Include (late 2025),,Tags,CoS Email,,
CoS,BIOL3142,Biomedical Parasitology,,Somewhat Likely (Material),Somewhat Likely,Somewhat Likely,-,-,-,,,,,,
CoS,BIOL3142,Biomedical Parasitology,,Somewhat Likely (Material),Somewhat Likely,Somewhat Likely,-,-,-,Revise,,Tags,CoS Email,Confirm with ADE,
CoS,BIOL3178,Recovery Biology,,Highly Likely,-,Likely,Likely,Likely,Likely,,,,CoS ADE Email,,
CoS,BIOL3188,ANU SynBio Challenge Team Project,,Highly Likely,Highly Likely,Likely,-,Likely,-,,,,CoS ADE Email,,
CoS,BIOL3208,Biology Research Project,,-,-,-,-,-,-,,,,CoS ADE Email,,
CoS,BIOL3210,Appreciating parasites,,Likely (Peers),Somewhat Likely,Likely,-,Likely,Likely,,,,CoS ADE Email,,
CBE,BUSI3020,International Strategic Management,,Somewhat Likely (Material),Somewhat Likely,Somewhat Likely,-,-,-,Include and Review (2026),,Specified,BINBS Award Orders,,BINBS
